"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ACCELEROMETER";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"unknown";"unknown";
"ADCH";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"ADCL";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"C1";"0u33";"C-EU050-035X075";"C050-035X075";"CAPACITOR, European symbol";"";"";"";"";
"C2";"0u1";"C-EU050-035X075";"C050-035X075";"CAPACITOR, European symbol";"";"";"";"";
"C3";"0u33";"C-EU050-035X075";"C050-035X075";"CAPACITOR, European symbol";"";"";"";"";
"C4";"";"C-EU050-035X075";"C050-035X075";"CAPACITOR, European symbol";"";"";"";"";
"C5";"0u1";"CPOL-EUE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C8";"100u";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C9";"330u";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"COMMUNICATION";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"D2";"1N5819";"BA221";"DO35-10";"DIODE";"";"";"";"";
"IC1";"7808T";"7808T";"TO220H";"Positive VOLTAGE REGULATOR";"";"";"";"";
"IC2";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";
"IC3";"LM2575T";"LM2575T";"TO220-5";"National Semiconductor 1.0A "Simple Switcher"(c)";"";"";"";"";
"JP1";"";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-2X8";"2X08";"PIN HEADER";"";"";"";"";
"JP3";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP5";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP6";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP8";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"L1";"330u";"INDUCTORAXIAL-0.6";"AXIAL-0.6";"Inductors";"";"";"";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";
"MAGNETOMETER";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"unknown";"unknown";
"POWER";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"PWMH";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"PWML";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";
"R1";"330R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"R2";"330R";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"R3";"";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"R4";"10K";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";
"S1";"TL46PO";"TL46PO";"TL4XPO";"TINY SWITCH ON - ON";"";"";"";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"SG1";"F/CM12P";"F/CM12P";"F/CM12P";"BUZZER Source: Buerklin";"";"";"unknown";"unknown";
"SV1";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV2";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV3";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV4";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV5";"";"MA05-2";"MA05-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV6";"";"FE05-1";"FE05-1";"FEMALE HEADER";"";"";"unknown";"unknown";
"T1";"";"BC547A-NPN-TO92-CBE";"TO92-CBE";"NPN Transistror";"";"";"";"";
"U1";"TMP36";"TMP36GT9";"TO-92";"Precision degC temp sensor, analog out";"";"";"";"";
"X1";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";
